token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
inanaxã ,(i⁴na²nax³ã³),v.t., dar ,inanaxã (i⁴na²nax³ã³) v.t. dar Nüma rü Tupanaarü puracücax inanaxã inorü diẽru. Él da su dinero para la obra de dios.,Nüma rü Tupanaarü puracücax inanaxã inorü diẽru. Él da su dinero para la obra de dios.,Nüma rü Tupanaarü puracücax inanaxã inorü diẽru.,Él da su dinero para la obra de dios.
ínanaxãũ̱xẽẽ ,(i¹na²nax³ãũ̱ ̱x⁵ẽ²ẽ³),v.t.,  torcer ,ínanaxãũ̱xẽẽ (i¹na²nax³ãũ̱ ̱x⁵ẽ²ẽ³) v.t.  torcer Üaxcü rü ínanaxãũ̱ xẽẽ i  mürapewa. El calor del sol tuerce la tabla.,El calor del sol tuerce la tabla.,,
ínanaxexechi ,(i¹na²nax³ex²e²chi²),v.t., marcar ,ínanaxexechi (i¹na²nax³ex²e²chi²) v.t. marcar (línea recta con una soga)Corapína rü ínanaxexechi i ngẽma  mürapewa erü nanawãĩ̱ x̱ techaü̃. El carpinteromarcaconlasogaunalínea  recta en la tabla porque quiere partirla.,Corapína rü ínanaxexechi i ngẽma  mürapewa erü nanawãĩ̱ x̱ techaü̃. El carpinteromarcaconlasogaunalínea  recta en la tabla porque quiere partirla.,Corapína rü ínanaxexechi i ngẽma  mürapewa erü nanawãĩ̱ x̱ techaü̃.,El carpinteromarcaconlasogaunalínea  recta en la tabla porque quiere partirla.
ínanaxíraxãchi ,(i¹na²nax³i¹rax⁵ã²chi²),v.t., reducir ,"ínanaxíraxãchi (i¹na²nax³i¹rax⁵ã²chi²)  v.t. reducir Natatachinü i ĩãx, rü ngẽmacax tá ínanaxíraxãchi. La  puerta quedó muy ancha y por eso la va a reducir.","Natatachinü i ĩãx, rü ngẽmacax tá ínanaxíraxãchi. La  puerta quedó muy ancha y por eso la va a reducir.","Natatachinü i ĩãx, rü ngẽmacax tá ínanaxíraxãchi.",La  puerta quedó muy ancha y por eso la va a reducir.
inanaxoxẽẽ ,(i⁴na²nax³ox²ẽ²ẽ³),v.t., apagar ,inanaxoxẽẽ (i⁴na²nax³ox²ẽ²ẽ³) v.t. apagar Papá rü paxa tá inanaxoxẽẽ yaomü erü marü nachüta. Papá va a apagar la luz pronto porque ya es lahora de dormir.,Papá rü paxa tá inanaxoxẽẽ yaomü erü marü nachüta. Papá va a apagar la luz pronto porque ya es lahora de dormir.,Papá rü paxa tá inanaxoxẽẽ yaomü erü marü nachüta.,Papá va a apagar la luz pronto porque ya es lahora de dormir.
ínanaxuaxü̃1 ,(i¹na²nax³u³ax⁴ü³),v.t.," denunciar, demandar, acusar ","ínanaxuaxü̃1 (i¹na²nax³u³ax⁴ü³) v.t. denunciar, demandar, acusar Yúche rüãẽx̱ gacüxü̃tawa ínanaxuaxü̃ ga yema  yatü yerü naxcax nangĩx ga norüngue. José lo denunció ante el juez  porque el hombre le había robado su canoa.",Yúche rüãẽx̱ gacüxü̃tawa ínanaxuaxü̃ ga yema  yatü yerü naxcax nangĩx ga norüngue. José lo denunció ante el juez  porque el hombre le había robado su canoa.,Yúche rüãẽx̱ gacüxü̃tawa ínanaxuaxü̃ ga yema  yatü yerü naxcax nangĩx ga norüngue.,José lo denunció ante el juez  porque el hombre le había robado su canoa.
ínanaxuaxü̃2 ,(i¹na²nax³u³ax⁴ü³),v.t.,ofrecer ,ínanaxuaxü̃2 (i¹na²nax³u³ax⁴ü³) v.t.ofrecer Taxepataü̃arü yoraxü̃tawa ínanaxuaxü̃ i norü ui erü namaxã  nataxechaü̃. Ofreció su fariña al dueño de la tienda porque quería  venderla.,Taxepataü̃arü yoraxü̃tawa ínanaxuaxü̃ i norü ui erü namaxã  nataxechaü̃. Ofreció su fariña al dueño de la tienda porque quería  venderla.,Taxepataü̃arü yoraxü̃tawa ínanaxuaxü̃ i norü ui erü namaxã  nataxechaü̃.,Ofreció su fariña al dueño de la tienda porque quería  venderla.
ínanaxũmaguxẽẽ ,(i¹na²nax³ũ²ma³gux⁴ẽ²ẽ³),v.t., desafilar ,ínanaxũmaguxẽẽ (i¹na²nax³ũ²ma³gux⁴ẽ²ẽ³) v.t. desafilar Ngẽma nai i  taixü̃ rü tá  ínanaxũmaguxẽẽ i chorü tara. Esa madera duravaadesafilarmimachete.  Véase nanatécaxẽẽ,Ngẽma nai i  taixü̃ rü tá  ínanaxũmaguxẽẽ i chorü tara. Esa madera duravaadesafilarmimachete.,Ngẽma nai i  taixü̃ rü tá  ínanaxũmaguxẽẽ i chorü tara.,Esa madera duravaadesafilarmimachete.
ínanaxũxü̃xẽẽ ,(i¹na²nax³ũx²³ü̃x⁴ẽ²ẽ³),v.t., hacer salir ,ínanaxũxü̃xẽẽ (i¹na²nax³ũx²³ü̃x⁴ẽ²ẽ³) v.t. hacer salir (complemento  singular) Nüma yataxepataü̃arü yora rü  ínanaxũxü̃xẽẽ erü nangãxü̃. El dueño de la tienda lo hace salir porque  está borracho. [compl. pl. ínanachoxü̃xẽẽ],Nüma yataxepataü̃arü yora rü  ínanaxũxü̃xẽẽ erü nangãxü̃. El dueño de la tienda lo hace salir porque  está borracho. [compl. pl.,Nüma yataxepataü̃arü yora rü  ínanaxũxü̃xẽẽ erü nangãxü̃.,El dueño de la tienda lo hace salir porque  está borracho. [compl. pl.
inanaxǘ ̃ ,(i⁴na²nax³ü²),v.t.," poner, depositar, colocar ","inanaxǘ ̃ (i⁴na²nax³ü²) v.t. poner, depositar, colocar (complemento  singular) Pedru rü mechagu inanaxǘ ̃ i norü  popera. Pedro puso su documento en la mesa. [compl. pl. inananu]",Pedru rü mechagu inanaxǘ ̃ i norü  popera. Pedro puso su documento en la mesa. [compl. pl.,Pedru rü mechagu inanaxǘ ̃ i norü  popera.,Pedro puso su documento en la mesa. [compl. pl.
ínanaxü ,(i¹na²nax³ü⁴),v.t., hacer ,ínanaxü (i¹na²nax³ü⁴) v.t. hacer Ínanaxü ya  ngue norü taxeruxü̃. Está haciendo la canoa para venderla.,Está haciendo la canoa para venderla.,,
inanaxügü ,(i⁴na²nax³ü⁴gü²),v.t.,"['empezar, comenzar, iniciar ', 'constituir, fundar']","inanaxügü (i⁴na²nax³ü⁴gü²) v.t.1.  empezar, comenzar, iniciar Nüma rü paxmamaxüchi inanaxügü nax  napuracǘ ̃xü̃. Él empieza a trabajar bien temprano en la mañana.2.  constituir, fundar",Nüma rü paxmamaxüchi inanaxügü nax  napuracǘ ̃xü̃. Él empieza a trabajar bien temprano en la mañana.2.,Nüma rü paxmamaxüchi inanaxügü nax  napuracǘ ̃xü̃.,Él empieza a trabajar bien temprano en la mañana.2.
ínanaxüxü̃1 ,(i¹na²nax³üx⁴ü²),v.t., hacer ,ínanaxüxü̃1 (i¹na²nax³üx⁴ü²) v.t. hacer (en gran cantidad) Ĩpréü̃tawa  ínanaxüxü̃ i  muxü̃ma i librugü. En la imprenta se hacen montones delibros.,En la imprenta se hacen montones delibros.,,
ínanaxüxü̃2 ,(i¹na²nax³üx⁴ü⁵),v.t., curar  ,ínanaxüxü̃2 (i¹na²nax³üx⁴ü⁵) v.t. curar  Dutúruxü̃tawa ínanaxüxü̃ i norü o̱ xri. El médico le curó la herida.,Dutúruxü̃tawa ínanaxüxü̃ i norü o̱ xri. El médico le curó la herida.,Dutúruxü̃tawa ínanaxüxü̃ i norü o̱ xri.,El médico le curó la herida.
ínanaxǘ ̃xüchi ,(i¹na²nax³üx²ü⁴chi²),v.t.," separar, apartar ","ínanaxǘ ̃xüchi (i¹na²nax³üx²ü⁴chi²) v.t. separar, apartar Nanaxwaxe i  Tupanacaxínanaxǘ ̃xüchi i  ngü̃chigaarü ngunexü̃. Él quiere separar para dios el día de descanso.",Nanaxwaxe i  Tupanacaxínanaxǘ ̃xüchi i  ngü̃chigaarü ngunexü̃. Él quiere separar para dios el día de descanso.,Nanaxwaxe i  Tupanacaxínanaxǘ ̃xüchi i  ngü̃chigaarü ngunexü̃.,Él quiere separar para dios el día de descanso.
inanaxüxwetaü̃ ,(i⁴na²nax³üx²we⁴taü²⁵),v.t., descargar ,inanaxüxwetaü̃ (i⁴na²nax³üx²we⁴taü²⁵)  v.t. descargar Márcu inanaxüxwetaü̃ i norü ui. Marcos está descargando  su fariña.,Márcu inanaxüxwetaü̃ i norü ui. Marcos está descargando  su fariña.,Márcu inanaxüxwetaü̃ i norü ui.,Marcos está descargando  su fariña.
ínanayauxmex ,(i¹na²na³yau̱ x⁵mex̱ ⁵),v.t.,  lavar ,ínanayauxmex (i¹na²na³yau̱ x⁵mex̱ ⁵) v.t.  lavar (las manos de otra persona),,,
ínanayauxü̃ ,(i¹na²na³yaux⁴ü⁵),v.t.," agarrar, capturar ","ínanayauxü̃ (i¹na²na³yaux⁴ü⁵) v.t. agarrar, capturar Purichíagü rü marü  ínanayauxüi ngẽma ngĩ́t̃ aa̱ x̱ güxü̃. La  policía ha agarrado a esa banda de ladrones.",Purichíagü rü marü  ínanayauxüi ngẽma ngĩ́t̃ aa̱ x̱ güxü̃. La  policía ha agarrado a esa banda de ladrones.,Purichíagü rü marü  ínanayauxüi ngẽma ngĩ́t̃ aa̱ x̱ güxü̃.,La  policía ha agarrado a esa banda de ladrones.
ínanayimatüxẽẽ ,(i¹na²na³yi⁵ma²tüx²ẽ²ẽ³),v.t., descolorar ,ínanayimatüxẽẽ (i¹na²na³yi⁵ma²tüx²ẽ²ẽ³)  v.t. descolorar Ngẽma lejía tá ínanayimatüxẽẽ i cuxchiru. Esa lejía va  a descolorar su ropa.,Ngẽma lejía tá ínanayimatüxẽẽ i cuxchiru. Esa lejía va  a descolorar su ropa.,Ngẽma lejía tá ínanayimatüxẽẽ i cuxchiru.,Esa lejía va  a descolorar su ropa.
ínanayixẽẽ ,(i¹na²na³yix⁵ẽ²ẽ³),v.t.,"['despintar', 'limpiar']",ínanayixẽẽ (i¹na²na³yix⁵ẽ²ẽ³) v.t.1.  despintar2.  limpiar,,,
ínanayixẽẽ i üxaxü̃ ,(i¹na²na³yix⁵ẽ²ẽ³ i⁴ üx⁴ax⁵ü²),v.t., desmanchar  ,ínanayixẽẽ i üxaxü̃ (i¹na²na³yix⁵ẽ²ẽ³ i⁴ üx⁴ax⁵ü²) v.t. desmanchar  Ngẽma lejía táínanayixẽẽ i ngẽma üxaxü̃ i  cuxchiruwa ngẽxmaxü̃. Esa lejía va a quitar la mancha que está en tu  ropa.,Ngẽma lejía táínanayixẽẽ i ngẽma üxaxü̃ i  cuxchiruwa ngẽxmaxü̃. Esa lejía va a quitar la mancha que está en tu  ropa.,Ngẽma lejía táínanayixẽẽ i ngẽma üxaxü̃ i  cuxchiruwa ngẽxmaxü̃.,Esa lejía va a quitar la mancha que está en tu  ropa.
ínanayixẽxẽ ,(i¹na²na³yix⁵ẽx²ẽ³),v.t.,  hacer despintar,ínanayixẽxẽ (i¹na²na³yix⁵ẽx²ẽ³) v.t.  hacer despintar,,,
inangãxe ,(i⁴na²ngãx³e⁵),v.i., emborracharse  ,"inangãxe (i⁴na²ngãx³e⁵) v.i. emborracharse  (sujeto plural) Yima ĩpatawa inangãxe iduü̃xü̃gü, rü  ngẽmacax nügü nadai. La gente está  emborrachándose en esa casa y por eso está peleando. [suj. sing.  inangãxü̃]","Yima ĩpatawa inangãxe iduü̃xü̃gü, rü  ngẽmacax nügü nadai. La gente está  emborrachándose en esa casa y por eso está peleando. [suj. sing.","Yima ĩpatawa inangãxe iduü̃xü̃gü, rü  ngẽmacax nügü nadai.",La gente está  emborrachándose en esa casa y por eso está peleando. [suj. sing.
ínangãxü̃ ,(i⁴na²ngãx²ü³),v.i., emborracharse ,ínangãxü̃ (i⁴na²ngãx²ü³) v.i. emborracharse (sujeto singular) [suj. pl.  inangãẽ],,,
inangeenü ,(i⁴na²nge²e³nü³),v.e., estar abierto,inangeenü (i⁴na²nge²e³nü³) v.e. estar abiertoName nax quixücuxü̃ erü inangeenü i ĩãx.  Puedes entrar porque la puerta está abierta. Véase niwãxnaínangegüremüchiru,Name nax quixücuxü̃ erü inangeenü i ĩãx.  Puedes entrar porque la puerta está abierta.,Name nax quixücuxü̃ erü inangeenü i ĩãx.,Puedes entrar porque la puerta está abierta.
,(i¹na³nge²gü⁵re²mü³chi¹ru⁵),v.t.,"  remangar, arremangar  ","(i¹na³nge²gü⁵re²mü³chi¹ru⁵) v.t.  remangar, arremangar  Ínangegüremüchiru yerü nanaianexü̃chi. Arremangó su camisa porque hacía  mucho calor.",Arremangó su camisa porque hacía  mucho calor.,,
inangiẽnü ,(i⁴na²ngi²ẽ³nü³),v.i., sonreír,inangiẽnü (i⁴na²ngi²ẽ³nü³) v.i. sonreírInangiẽnü i ngẽma buxü̃ erü nataãẽ. El   niño sonríe porque está alegre.,Inangiẽnü i ngẽma buxü̃ erü nataãẽ. El   niño sonríe porque está alegre.,Inangiẽnü i ngẽma buxü̃ erü nataãẽ.,El   niño sonríe porque está alegre.
inangu1 ,(i⁴na²ngu³),v.i.,"['pesar ', 'medir']",inangu1 (i⁴na²ngu³) v.i.1.  pesar Inangu i namachi rü cinco quíruwa nangu. La carne pesa cinco    kilos.2.  medir,Inangu i namachi rü cinco quíruwa nangu. La carne pesa cinco    kilos.2.,Inangu i namachi rü cinco quíruwa nangu.,La carne pesa cinco    kilos.2.
inangu2 ,(i⁴na²ngu³⁵),v.i.,"['hundirse ', 'ahogarse']",inangu2 (i⁴na²ngu³⁵) v.i.1.  hundirse Inangu i chorü tara dexágu.  Mi machete se hundió en el agua.2.  ahogarse,Inangu i chorü tara dexágu.  Mi machete se hundió en el agua.2.,Inangu i chorü tara dexágu.,Mi machete se hundió en el agua.2.
ínangu1 ,(i¹na²ngu³),v.i.,"['llegar, venir ', 'asistir']","ínangu1 (i¹na²ngu³) v.i.1.  llegar, venir Wixguta guxü̃ ga papágü rü ínangugü nawa ga  ãẽxgacüarü ngutaquex̱ e. Casi todos los padres llegaron a la reunión  con el  director.2.  asistir",Wixguta guxü̃ ga papágü rü ínangugü nawa ga  ãẽxgacüarü ngutaquex̱ e. Casi todos los padres llegaron a la reunión  con el  director.2.,Wixguta guxü̃ ga papágü rü ínangugü nawa ga  ãẽxgacüarü ngutaquex̱ e.,Casi todos los padres llegaron a la reunión  con el  director.2.
ínangu2 ,(i¹na²ngu³⁵),v.i., caerse,ínangu2 (i¹na²ngu³⁵) v.i. caerse,,,
ínanguxuchi ,(i¹na²ngux³u⁵chi³),v.t., dejar ,"ínanguxuchi (i¹na²ngux³u⁵chi³) v.t. dejar (un  cargo, sujeto singular) Ínanguxuchi ga ngu̱ xẽẽruxü̃ yerü nidaxawe. El  profesor dejó el cargo porque estaba enfermo. [suj. pl. ínanguxü̃]",El  profesor dejó el cargo porque estaba enfermo. [suj. pl.,,
ínanguxü̃ ,(i¹na²ngux³ü⁵),v.i., dejar ,"ínanguxü̃ (i¹na²ngux³ü⁵) v.i. dejar (un cargo, sujeto plural) Guxü̃ma ga  ãẽ̱xgacügü rü ínanguxü̃ yerü nüma ga duü̃xü̃gü rü tama nanaxwax̱ e naxãẽ̱x  gacügü yixĩgüxü̃. Todos los jefes  dejaron los cargos porque la gente no quería que fueran sus jefes.  [suj. sing. ínanguxuchi]",Guxü̃ma ga  ãẽ̱xgacügü rü ínanguxü̃ yerü nüma ga duü̃xü̃gü rü tama nanaxwax̱ e naxãẽ̱x  gacügü yixĩgüxü̃. Todos los jefes  dejaron los cargos porque la gente no quería que fueran sus jefes.  [suj. sing.,Guxü̃ma ga  ãẽ̱xgacügü rü ínanguxü̃ yerü nüma ga duü̃xü̃gü rü tama nanaxwax̱ e naxãẽ̱x  gacügü yixĩgüxü̃.,Todos los jefes  dejaron los cargos porque la gente no quería que fueran sus jefes.  [suj. sing.
inangü ,(i⁴na²ngü⁴),v.i., flotar ,inangü (i⁴na²ngü⁴) v.i. flotar Mureru rü í dexáétügu inangü erü tama  naya. La guama flotaencimadelaguaporqueno pesa.,Mureru rü í dexáétügu inangü erü tama  naya. La guama flotaencimadelaguaporqueno pesa.,Mureru rü í dexáétügu inangü erü tama  naya.,La guama flotaencimadelaguaporqueno pesa.
ínangücuchi ,(i¹na²ngü⁵cu⁵chi²),v. refl., fondearse ,ínangücuchi (i¹na²ngü⁵cu⁵chi²) v. refl. fondearse (barco) Wapuru rütüregu ínangücuchi. La lancha se fondea en el puerto.,Wapuru rütüregu ínangücuchi. La lancha se fondea en el puerto.,Wapuru rütüregu ínangücuchi.,La lancha se fondea en el puerto.
ínanuü̃ ,(i¹na²nu²ü⁵),v.t., descargar ,ínanuü̃ (i¹na²nu²ü⁵) v.t. descargar Türewa ínanuü̃ i mürapewagü. Descarganlas tablas en elpuerto.,Türewa ínanuü̃ i mürapewagü. Descarganlas tablas en elpuerto.,Türewa ínanuü̃ i mürapewagü.,Descarganlas tablas en elpuerto.
ínaña ,(i¹na²ña³),v.i., encogerse ,ínaña (i¹na²ña³) v.i. encogerse Ínaña i naxchiru  ngẽxguma naixchiüxü̃wa nayaxugu. La ropa se encoge cuando la lavan en agua demasiado caliente.,La ropa se encoge cuando la lavan en agua demasiado caliente.,,
ínañaãchi ,(i⁴na²ña³ã²chi²),v.i.,  correr ,ínañaãchi (i⁴na²ña³ã²chi²) v.i.  correr (sujeto singular) Nüma rü poraãcü inañaãchi erü wüxi ya ai nawe  ningẽchigü. Él corrió rápidamente porque un tigre lo estaba  persiguiendo. [suj. pl. inaxüãchi],Nüma rü poraãcü inañaãchi erü wüxi ya ai nawe  ningẽchigü. Él corrió rápidamente porque un tigre lo estaba  persiguiendo. [suj. pl.,Nüma rü poraãcü inañaãchi erü wüxi ya ai nawe  ningẽchigü.,Él corrió rápidamente porque un tigre lo estaba  persiguiendo. [suj. pl.
ínapoxẽẽ ,(i¹na⁵pox²ẽ²ẽ³),v.t., doblar ,ínapoxẽẽ (i¹na⁵pox²ẽ²ẽ³) v.t. doblar Ínapoxẽẽ i  arami nax cunaxüxü̃cax i choruxü̃. Dobla el alambre para hacer un  gancho.,Dobla el alambre para hacer un  gancho.,,
ínapoxü̃ ,(i¹na⁵pox³⁵ü²),v.e.," ser curvo, tener curva ","ínapoxü̃ (i¹na⁵pox³⁵ü²) v.e. ser curvo, tener curva Nüxü̃ ichayangau gachomücü yema  nama ínapoxü̃gu. Encontré a mi amigo donde el camino tiene curva.",Nüxü̃ ichayangau gachomücü yema  nama ínapoxü̃gu. Encontré a mi amigo donde el camino tiene curva.,Nüxü̃ ichayangau gachomücü yema  nama ínapoxü̃gu.,Encontré a mi amigo donde el camino tiene curva.
ínapoxü̃cü ,(i¹na²pox³ü²cü²),s.m., defensor ,ínapoxü̃cü (i¹na²pox³ü²cü²) s.m. defensor (en  pelea) Gumá ínapoxü̃cü rü napora. Su defensor es fuerte.,Gumá ínapoxü̃cü rü napora. Su defensor es fuerte.,Gumá ínapoxü̃cü rü napora.,Su defensor es fuerte.
ínapuracü ,(i¹na²pu³ra³cü²),v.e.," estar trabajando, estar ocupado ","ínapuracü (i¹na²pu³ra³cü²) v.e. estar trabajando, estar ocupado Nüma rüínapuracü rü ngẽmacax taxucürüwa cumaxã nangutaquexe i ñu̱ xmax. Él estátrabajando y por eso no puede reunirse contigo hoy.",Nüma rüínapuracü rü ngẽmacax taxucürüwa cumaxã nangutaquexe i ñu̱ xmax. Él estátrabajando y por eso no puede reunirse contigo hoy.,Nüma rüínapuracü rü ngẽmacax taxucürüwa cumaxã nangutaquexe i ñu̱ xmax.,Él estátrabajando y por eso no puede reunirse contigo hoy.
ínarücho ,(i⁴na²rü³cho²),v.i., quedarse ,ínarücho (i⁴na²rü³cho²) v.i. quedarse (sujeto plural) [suj. sing. inarüxãũ̱ x],,,
ínarücutanüxü̃ ,(i¹na²rü³cu²ta³nüx⁵ü³),v.i.,  reírse ,ínarücutanüxü̃ (i¹na²rü³cu²ta³nüx⁵ü³) v.i.  reírse (sujeto plural) Buxü̃gü rü  ínarücutanüxü̃ erü nataãxẽgü. Los niños están riéndose porque están  alegres. [suj.  sing. ínarücu̱ xnaxü̃],Buxü̃gü rü  ínarücutanüxü̃ erü nataãxẽgü. Los niños están riéndose porque están  alegres. [suj.  sing.,Buxü̃gü rü  ínarücutanüxü̃ erü nataãxẽgü.,Los niños están riéndose porque están  alegres. [suj.  sing.
ínarücuxnax̱ ü̃ ,(i¹na²rü³cux²na̱x⁵ü²),v.i.,  reírse ,ínarücuxnax̱ ü̃ (i¹na²rü³cux²na̱x⁵ü²) v.i.  reírse (sujeto singular) Ngẽma buxü̃ rüínarücuxnax̱ ü̃ erü norü mamá nüxna  tanaxã i wüxi i peruta i ngexwacaxü̃xü̃. El niño se ríe porque  su mamá le ha dado una pelotanueva. [suj. pl. ínarücutanüxü̃],Ngẽma buxü̃ rüínarücuxnax̱ ü̃ erü norü mamá nüxna  tanaxã i wüxi i peruta i ngexwacaxü̃xü̃. El niño se ríe porque  su mamá le ha dado una pelotanueva. [suj. pl.,Ngẽma buxü̃ rüínarücuxnax̱ ü̃ erü norü mamá nüxna  tanaxã i wüxi i peruta i ngexwacaxü̃xü̃.,El niño se ríe porque  su mamá le ha dado una pelotanueva. [suj. pl.
ínarüda ,(i¹na²rü³da³⁵),v.i.,"['levantarse', 'resucitar ']",ínarüda (i¹na²rü³da³⁵) v.i.1.  levantarse2.  resucitar Tomaepü̱ x ga ngunexü̃guwena rü ínarüda ga Ngechuchu.      Después de tres días Jesús  resucitó.,Tomaepü̱ x ga ngunexü̃guwena rü ínarüda ga Ngechuchu.      Después de tres días Jesús  resucitó.,Tomaepü̱ x ga ngunexü̃guwena rü ínarüda ga Ngechuchu.,Después de tres días Jesús  resucitó.
inarümaãchi ,(i⁴na²rü³ma²ã²chi²),v.i., entristecerse ,inarümaãchi (i⁴na²rü³ma²ã²chi²) v.i. entristecerse Nüma rü inarümaãchi  rü naxaxu. Él se entristeció y lloró.,Nüma rü inarümaãchi  rü naxaxu. Él se entristeció y lloró.,Nüma rü inarümaãchi  rü naxaxu.,Él se entristeció y lloró.
inarümaxãchi ,(i⁴na²rü³ma̱x⁵ã²chi²),v.i.,  agacharse,inarümaxãchi (i⁴na²rü³ma̱x⁵ã²chi²) v.i.  agacharse,,,
ínarünga ,(i¹na²rü³nga⁵),v.i., deslizarse ,ínarünga (i¹na²rü³nga⁵) v.i. deslizarse Ngẽxguma wüxi i tuãchixü̃ i  waixü̃wa nangexmagu i wüxi i ngue rü ínarünga.  Cuando una canoa está sobre un declive  mojado se desliza.,Ngẽxguma wüxi i tuãchixü̃ i  waixü̃wa nangexmagu i wüxi i ngue rü ínarünga.  Cuando una canoa está sobre un declive  mojado se desliza.,Ngẽxguma wüxi i tuãchixü̃ i  waixü̃wa nangexmagu i wüxi i ngue rü ínarünga.,Cuando una canoa está sobre un declive  mojado se desliza.
inarüngax ,(i⁴na²rü³nga̱x⁵),v.i., quedar ,"inarüngax (i⁴na²rü³nga̱x⁵) v.i. quedar (boca abajo, sujeto inanimado)  Ngẽma pochiyugü ega nangüeguxgu rü inarüngaxgü. Las copas quedan boca  abajo cuando se voltean.",Ngẽma pochiyugü ega nangüeguxgu rü inarüngaxgü. Las copas quedan boca  abajo cuando se voltean.,Ngẽma pochiyugü ega nangüeguxgu rü inarüngaxgü.,Las copas quedan boca  abajo cuando se voltean.
inarütaxu ,(i⁴na²rü³tax²u³),v.i.,"  extraviarse, perderse ","inarütaxu (i⁴na²rü³tax²u³) v.i.  extraviarse, perderse Tumachinanerü inarütaxu natürü namücüpatagu nüxü̃  inayangau. El hijo de Tomás se  extravió, pero lo encontraron en la casa de su amigo.","Tumachinanerü inarütaxu natürü namücüpatagu nüxü̃  inayangau. El hijo de Tomás se  extravió, pero lo encontraron en la casa de su amigo.",Tumachinanerü inarütaxu natürü namücüpatagu nüxü̃  inayangau.,"El hijo de Tomás se  extravió, pero lo encontraron en la casa de su amigo."
